city_state,lat,lng
"Muskegon,Michigan",43.2281,-86.2562
"Leesburg,Florida",28.7672,-81.8962
"High Point,North Carolina",35.991,-79.9937
"Tuscaloosa,Alabama",33.2348,-87.5268
"Visalia,California",36.3276,-119.3269
"Marysville,Washington",48.0809,-122.1561
"Merced,California",37.3057,-120.4779
"Hayward,California",37.6328,-122.0766
"Lafayette,Indiana",40.3991,-86.8593
"Springfield,Illinois",39.7709,-89.654
"Corona,California",33.8616,-117.5649
"Paterson,New Jersey",40.9147,-74.1624
"Alexandria,Virginia",38.8185,-77.0861
"Macon,Georgia",32.8065,-83.6974
"Binghamton,New York",42.1014,-75.9093
"Lakewood,Colorado",39.6977,-105.1172
"Kansas City,Kansas",39.1235,-94.7443
"Odessa,Texas",31.8801,-102.3448
"Sunnyvale,California",37.3836,-122.0255
"New Bedford,Massachusetts",41.6697,-70.9428
"Hollywood,Florida",26.0293,-80.1679
"South Lyon,Michigan",42.4614,-83.6526
"Escondido,California",33.1348,-117.0723
"Lake Charles,Louisiana",30.201,-93.2111
"Pasadena,Texas",29.6575,-95.1498
"Bellevue,Washington",47.5951,-122.1535
"Joliet,Illinois",41.5188,-88.1499
"Champaign,Illinois",40.1142,-88.2737
"Pomona,California",34.0585,-117.7626
"Fairfield,California",38.2583,-122.0335
"Mesquite,Texas",32.7602,-96.5865
"Elkhart,Indiana",41.6916,-85.9627
"Naperville,Illinois",41.748,-88.1659
"St. George,Utah",37.0758,-113.5752
"Roseville,California",38.7703,-121.3196
"Topeka,Kansas",39.0346,-95.6955
"Burlington,North Carolina",36.076,-79.4685
"Warner Robins,Georgia",32.5961,-83.6527
"Surprise,Arizona",33.6815,-112.4515
"Torrance,California",33.8346,-118.3416
"Santa Maria,California",34.9333,-120.4431
"Athens,Georgia",33.9508,-83.3689
"Houma,Louisiana",29.58,-90.7059
"Columbia,Missouri",38.9472,-92.3268
"Fullerton,California",33.8841,-117.9279
"Olathe,Kansas",38.8833,-94.82
"Thornton,Colorado",39.9197,-104.9438
"Greeley,Colorado",40.4152,-104.7706
"Beaumont,Texas",30.0849,-94.1451
"Las Cruces,New Mexico",32.3265,-106.7893
"Midland,Texas",32.0243,-102.1147
"Metairie,Louisiana",29.9977,-90.178
"Carolina,Puerto Rico",18.4054,-65.9792
"West Valley City,Utah",40.6886,-112.0123
"Orange,California",33.8038,-117.8218
"Warren,Michigan",42.4934,-83.027
"Grand Junction,Colorado",39.0877,-108.5673
"Tyler,Texas",32.3184,-95.3062
"Pasadena,California",34.1597,-118.139
"Hampton,Virginia",37.0551,-76.363
"Bloomington,Illinois",40.4757,-88.9703
"Elizabeth,New Jersey",40.6658,-74.1913
"Stamford,Connecticut",41.1039,-73.5585
"Yuma,Arizona",32.5995,-114.5491
"Kent,Washington",47.3887,-122.2128
"Miramar,Florida",25.9773,-80.3351
"Coeur d'Alene,Idaho",47.704,-116.7936
"Coral Springs,Florida",26.2702,-80.2591
"Sterling Heights,Michigan",42.5809,-83.0305
"Yuba City,California",39.1357,-121.6383
"Yakima,Washington",46.5923,-120.5496
"Carrollton,Texas",32.989,-96.8999
"Racine,Wisconsin",42.7274,-87.8135
"Johnson City,Tennessee",36.3406,-82.3806
"Billings,Montana",45.7891,-108.5526
"Iowa City,Iowa",41.6559,-91.5303
"Dover,Delaware",39.161,-75.5202
"Bellingham,Washington",48.7548,-122.469
"Charleston,West Virginia",38.3484,-81.6322
"Lynchburg,Virginia",37.4003,-79.1909
"Santa Clara,California",37.3646,-121.968
"Norman,Oklahoma",35.2335,-97.3471
"Greenville,North Carolina",35.5943,-77.376
"Simi Valley,California",34.2663,-118.749
"Fort Smith,Arkansas",35.3495,-94.3695
"Abilene,Texas",32.4543,-99.7384
"Arecibo,Puerto Rico",18.4491,-66.7387
"Lewisville,Texas",33.0454,-96.9815
"Pearland,Texas",29.5581,-95.3218
"Lehigh Acres,Florida",26.612,-81.6388
"Kenosha,Wisconsin",42.5865,-87.8773
"Seaside,California",36.6224,-121.8199
"Burlington,Vermont",44.4876,-73.2316
"Arvada,Colorado",39.832,-105.151
"Waldorf,Maryland",38.6085,-76.9194
"Independence,Missouri",39.0871,-94.3501
"Rochester,Minnesota",44.0154,-92.478
"Logan,Utah",41.7399,-111.8422
"Harlingen,Texas",26.1916,-97.6977
"Berkeley,California",37.8722,-122.276
"Clovis,California",36.8278,-119.683
"Round Rock,Texas",30.527,-97.6642
"Pueblo,Colorado",38.2701,-104.6114
"Temple,Texas",31.1068,-97.3891
"Meridian,Idaho",43.6116,-116.3977
"Duluth,Minnesota",46.7756,-92.1393
"The Woodlands,Texas",30.1738,-95.5134
"Boulder,Colorado",40.0248,-105.2524
"Richardson,Texas",32.9716,-96.7093
"Cambridge,Massachusetts",42.3759,-71.1185
"West Palm Beach,Florida",26.7469,-80.132
"Port Arthur,Texas",29.8554,-93.9264
"East Los Angeles,California",34.0326,-118.1691
"Redding,California",40.5698,-122.365
"Clearwater,Florida",27.979,-82.7623
"Monroe,Louisiana",32.5185,-92.0774
"Utica,New York",43.0962,-75.2261
"St. Cloud,Minnesota",45.534,-94.1718
"Mandeville,Louisiana",30.3751,-90.0904
"West Jordan,Utah",40.6024,-112.0008
"North Charleston,South Carolina",32.9067,-80.0722
"Richmond,California",37.9477,-122.3389
"Westminster,Colorado",39.8837,-105.0624
"Saginaw,Michigan",43.4199,-83.9501
"Kailua,Hawaii",21.392,-157.7396
"Brandon,Florida",27.9367,-82.3
"Ponce,Puerto Rico",18.0127,-66.6212
"Carlsbad,California",33.1246,-117.2834
"Lowell,Massachusetts",42.6389,-71.3217
"Broken Arrow,Oklahoma",36.038,-95.7806
"Elgin,Illinois",42.0383,-88.324
"Gresham,Oregon",45.5021,-122.4413
"League City,Texas",29.4874,-95.1087
"Downey,California",33.9379,-118.1311
"Waterloo,Iowa",42.4918,-92.3522
"Murrieta,California",33.5719,-117.1909
"Leominster,Massachusetts",42.5209,-71.7717
"Longview,Texas",32.5193,-94.7622
"Jacksonville,North Carolina",34.7289,-77.3941
"Pompano Beach,Florida",26.2428,-80.1312
"Bend,Oregon",44.0563,-121.3095
"Miami Gardens,Florida",25.9433,-80.2426
"Costa Mesa,California",33.6667,-117.9135
"Sioux City,Iowa",42.4959,-96.3901
"Everett,Washington",47.9525,-122.1669
"Gilroy,California",37.0046,-121.5854
"San Buenaventura,California",34.2741,-119.2314
"Temecula,California",33.4928,-117.1315
"Sugar Land,Texas",29.5935,-95.6358
"Chico,California",39.7578,-121.8161
"Eau Claire,Wisconsin",44.8197,-91.4948
"El Monte,California",34.0739,-118.0291
"Idaho Falls,Idaho",43.4871,-112.0362
"Dearborn,Michigan",42.3127,-83.213
"Bloomington,Indiana",39.1637,-86.5257
"West Covina,California",34.0555,-117.9113
"Sparks,Nevada",39.5736,-119.7161
"South Fulton,Georgia",33.6273,-84.58
"Centennial,Colorado",39.5926,-104.8673
"Sandy Springs,Georgia",33.9366,-84.3703
"Inglewood,California",33.9566,-118.3444
"Hillsboro,Oregon",45.5273,-122.936
"Columbia,Maryland",39.2004,-76.859
"Burbank,California",34.1879,-118.3235
"Davie,Florida",26.0789,-80.287
"El Cajon,California",32.8017,-116.9604
"Jurupa Valley,California",34.001,-117.4706
"Allen,Texas",33.1088,-96.6735
"Auburn,Alabama",32.6087,-85.4903
"Renton,Washington",47.4784,-122.1918
"Holland,Michigan",42.7677,-86.0984
"Brockton,Massachusetts",42.0821,-71.0242
"Rio Rancho,New Mexico",35.2873,-106.6982
"San Mateo,California",37.5522,-122.3121
"Rialto,California",34.1175,-117.3892
"Spokane Valley,Washington",47.6626,-117.2346
"Charlottesville,Virginia",38.0375,-78.4855
"Menifee,California",33.6909,-117.1849
"Daly City,California",37.6862,-122.4685
"Wichita Falls,Texas",33.9072,-98.5291
"Riverview,Florida",27.8227,-82.3023
"Norwalk,California",33.9069,-118.0829
"Lee's Summit,Missouri",38.9171,-94.3816
"Longmont,Colorado",40.1686,-105.1005
"Vacaville,California",38.3587,-121.9673
"Highlands Ranch,Colorado",39.5419,-104.9708
"Kingsport,Tennessee",36.5224,-82.5454
"San Tan Valley,Arizona",33.1786,-111.5629
"Quincy,Massachusetts",42.2506,-71.0187
"Edinburg,Texas",26.3196,-98.1597
"Lynn,Massachusetts",42.4781,-70.9664
"San Angelo,Texas",31.4424,-100.4504
"Hesperia,California",34.3975,-117.3147
"Bowling Green,Kentucky",36.9716,-86.4378
"Federal Way,Washington",47.3091,-122.3358
"Carmel,Indiana",39.965,-86.146
"Bismarck,North Dakota",46.8143,-100.7694
"Fishers,Indiana",39.9588,-85.9659
"Lafayette,Colorado",39.9946,-105.0998
"Vista,California",33.1896,-117.2386
"Boca Raton,Florida",26.3752,-80.108
"St. Augustine,Florida",29.8976,-81.31
"Beaverton,Oregon",45.4779,-122.8168
"Goodyear,Arizona",33.2614,-112.3622
"Portsmouth,Virginia",36.8468,-76.354
"Orem,Utah",40.2981,-111.6994
"Sunrise,Florida",26.1547,-80.2997
"Portsmouth,New Hampshire",43.058,-70.7826
"Arden-Arcade,California",38.6017,-121.3845
"Lawrence,Kansas",38.9597,-95.2642
"Sandy,Utah",40.5709,-111.8506
"Slidell,Louisiana",30.2887,-89.7828
"Buckeye,Arizona",33.4314,-112.6429
"Livonia,Michigan",42.3972,-83.3733
"Williamsburg,Virginia",37.2693,-76.7076
"Suffolk,Virginia",36.6953,-76.6398
"Compton,California",33.893,-118.2274
"La Crosse,Wisconsin",43.8241,-91.2268
"Edmond,Oklahoma",35.6689,-97.416
"Carson,California",33.8374,-118.2559
"San Marcos,California",33.135,-117.1743
"Tracy,California",37.7269,-121.4523
"Prescott Valley,Arizona",34.598,-112.3185
"Middletown,Ohio",39.5033,-84.3659
"Fall River,Massachusetts",41.7136,-71.1015
"San Germán,Puerto Rico",18.0827,-67.046
"Santa Fe,New Mexico",35.6619,-105.9819
"Plantation,Florida",26.1259,-80.2617
"Mayagüez,Puerto Rico",18.2003,-67.1397
"New Braunfels,Texas",29.6994,-98.1148
"Roswell,Georgia",34.0391,-84.3513
"Conroe,Texas",30.3238,-95.4824
"South Gate,California",33.9447,-118.1926
"Santa Monica,California",34.0235,-118.481
"Kirkland,Washington",47.697,-122.2057
"Hoover,Alabama",33.3763,-86.8068
"O'Fallon,Missouri",38.785,-90.7175
"Alafaya,Florida",28.528,-81.1868
"Palm Coast,Florida",29.5389,-81.2457
"Norwalk,Connecticut",41.1144,-73.4215
"Lawton,Oklahoma",34.6175,-98.4202
"Chino,California",33.9836,-117.6654
"Mount Pleasant,South Carolina",32.8537,-79.8203
"Manteca,California",37.7927,-121.2264
"Westminster,California",33.7523,-117.9938
"Florence,South Carolina",34.178,-79.7898
"Joplin,Missouri",37.0757,-94.5018
"Germantown,Maryland",39.1755,-77.2643
"San Leandro,California",37.7074,-122.1599
"Town 'n' Country,Florida",28.0106,-82.5763
"Clifton,New Jersey",40.863,-74.1575
"Waukegan,Illinois",42.3698,-87.8716
"Bloomington,Minnesota",44.8306,-93.3151
"Avondale,Arizona",33.3873,-112.3235
"Atascocita,Texas",29.9777,-95.1953
"Missoula,Montana",46.8751,-114.0214
"Fort Myers,Florida",26.6194,-81.8302
"Newton,Massachusetts",42.3316,-71.2085
"Lawrence,Massachusetts",42.7002,-71.1626
"Muncie,Indiana",40.1989,-85.395
"Rapid City,South Dakota",44.0716,-103.2204
"Troy,Michigan",42.5817,-83.1457
"Livermore,California",37.6868,-121.7607
"Citrus Heights,California",38.6948,-121.288
"Hawthorne,California",33.9147,-118.3476
"Winchester,Virginia",39.1735,-78.1746
"Springdale,Arkansas",36.1901,-94.1574
"Whittier,California",33.9678,-118.0188
"Deerfield Beach,Florida",26.305,-80.1277
"Decatur,Illinois",39.8557,-88.9342
"San Ramon,California",37.7624,-121.9365
"Vineland,New Jersey",39.4653,-74.9981
"Mission,Texas",26.2039,-98.3256
"Auburn,Washington",47.3039,-122.2108
"Lake Forest,California",33.6605,-117.6714
"Newport Beach,California",33.6151,-117.8668
"Melbourne,Florida",28.1086,-80.6627
"Brooklyn Park,Minnesota",45.1112,-93.3505
"Bryan,Texas",30.665,-96.3807
"Westland,Michigan",42.3192,-83.3805
"Napa,California",38.2975,-122.301
"Baytown,Texas",29.7587,-94.9671
"Cicero,Illinois",41.8445,-87.7593
"Anderson,Indiana",40.0891,-85.6892
"Franklin,Tennessee",35.92,-86.8516
"Farmington Hills,Michigan",42.486,-83.3771
"Buena Park,California",33.8572,-118.0046
"Albany,Georgia",31.5776,-84.1762
"Pine Hills,Florida",28.5818,-81.4692
"State College,Pennsylvania",40.7909,-77.8567
"Redwood City,California",37.5025,-122.2253
"Warwick,Rhode Island",41.7062,-71.4334
"Jackson,Michigan",42.2431,-84.4038
"Cranston,Rhode Island",41.7658,-71.4858
"Largo,Florida",27.9088,-82.7712
"Miami Beach,Florida",25.8171,-80.1396
"Alhambra,California",34.084,-118.1355
"Johns Creek,Georgia",34.0333,-84.2027
"Mountain View,California",37.4001,-122.0796
"Salisbury,Maryland",38.3756,-75.5865
"Morgantown,West Virginia",39.6383,-79.9464
"Silver Spring,Maryland",39.0028,-77.0207
"Layton,Utah",41.077,-111.962
"Springfield,Ohio",39.93,-83.7959
"Lakewood,California",33.8471,-118.1222
"Florence,Alabama",34.8303,-87.6655
"Folsom,California",38.6668,-121.1422
"Madera,California",36.963,-120.0778
"New Rochelle,New York",40.9304,-73.7836
"Parma,Ohio",41.3843,-81.7286
"Terre Haute,Indiana",39.466,-87.3751
"Somerville,Massachusetts",42.3908,-71.1014
"Flagstaff,Arizona",35.1872,-111.6194
"Boynton Beach,Florida",26.5281,-80.0811
"Homestead,Florida",25.4665,-80.4472
"Newark,Ohio",40.0706,-82.425
"Plymouth,Minnesota",45.0225,-93.4617
"Anniston,Alabama",33.6712,-85.8135
"Texarkana,Texas",33.45,-94.0847
"Tustin,California",33.7311,-117.8107
"Pharr,Texas",26.1685,-98.1904
"Port Huron,Michigan",42.9821,-82.4388
"Turlock,California",37.5053,-120.8588
"Rancho Cordova,California",38.5737,-121.2527
"The Villages,Florida",28.9034,-81.9887
"Milpitas,California",37.4336,-121.8921
"Perris,California",33.7898,-117.2233
"Upland,California",34.1178,-117.6604
"Alton,Illinois",38.9037,-90.152
"Pleasanton,California",37.6663,-121.8805
"Kendall,Florida",25.6697,-80.3556
"Jonesboro,Arkansas",35.8212,-90.6791
"Bellflower,California",33.888,-118.1271
"Battle Creek,Michigan",42.2985,-85.2296
"Chino Hills,California",33.9508,-117.7254
"Cheyenne,Wyoming",41.135,-104.7902
"Lebanon,Pennsylvania",40.3412,-76.4228
"Carmichael,California",38.6318,-121.3263
"South Jordan,Utah",40.557,-111.9784
"Davis,California",38.5553,-121.737
"Elizabethtown,Kentucky",37.7031,-85.8773
"Schaumburg,Illinois",42.0308,-88.0838
"Alameda,California",37.7668,-122.267
"Hammond,Indiana",41.6168,-87.4909
"Pasco,Washington",46.2506,-119.1305
"Evanston,Illinois",42.0464,-87.6943
"Lehi,Utah",40.4136,-111.8725
"Alexandria,Louisiana",31.2923,-92.4702
"North Port,Florida",27.0576,-82.1977
"Arlington Heights,Illinois",42.0955,-87.9826
"Camarillo,California",34.223,-119.0321
"Wyoming,Michigan",42.8908,-85.7066
"Flower Mound,Texas",33.0343,-97.1146
"Bethlehem,Pennsylvania",40.6266,-75.3679
"Hattiesburg,Mississippi",31.3074,-89.317
"Loveland,Colorado",40.4166,-105.0623
"Pittsburg,California",38.0182,-121.8965
"Cedar Park,Texas",30.5105,-97.8197
"Wenatchee,Washington",47.436,-120.3295
"Southfield,Michigan",42.4765,-83.2605
"Rochester Hills,Michigan",42.6645,-83.1563
"Hammond,Louisiana",30.5061,-90.4563
"Valdosta,Georgia",30.8502,-83.2788
"Owensboro,Kentucky",37.7575,-87.1172
